,,,,,,,1 Month 4/1/2024 thru 4/30/2024,1 Month 5/1/2024 thru 5/31/2024,1 Month 6/1/2024 thru 6/30/2024,1 Month 7/1/2024 thru 7/31/2024,1 Month 8/1/2024 thru 8/31/2024,1 Month 9/1/2024 thru 9/30/2024,1 Month 10/1/2024 thru 10/31/2024,1 Month 11/1/2024 thru 11/30/2024,1 Month 12/1/2024 thru 12/31/2024,1 Month 1/1/2025 thru 1/31/2025,1 Month 2/1/2025 thru 2/28/2025,1 Month 3/1/2025 thru 3/31/2025,12 Months 4/1/2024 thru 3/31/2025,Diff,,,,,,,,,,,,,,,,
Classes of Trade,OnOff Premises,Retail Accounts,Address,City,State,Zip Code,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,9L,,,,,,,,,,,,,,,,
RESTAURANT,ON,SPARROW & WOLF,4480 SPRING MOUNTAIN RD STE100,LAS VEGAS,NV,89102,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JING,5370 GREENWOOD PLAZA BLVD #101,ENGLEWOOD,CO,80111,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TOP SUSHI A,24435 TOMBALL PARKWAY SUITE 70,TOMBALL,TX,77375,0,0,0,0,0,0,0,0,0,1,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SSA GROUP,325 5TH AVE N,SEATTLE,WA,98109,0,0,0,1,0,0,0,0,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,M GRILL,3832 WILSHIRE BL #202,LOS ANGELES,CA,90010,0,0,0,1,0,0,0,0,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LITTLE DOMS,2128 HILLHURST AV,LOS ANGELES,CA,90027,0,0,0,0,0,0,0,2,2,2,0,2, 8 , 8 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,FLEMINGS PRIME STEAKHOUSE,800 W OLYMPIC BL #A135,LOS ANGELES,CA,90015,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KANS THAI KITCHEN,4838 N FEDERAL HIGHWAY,FORT LAUDERDALE,FL,33308,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,HARRY S BEACH HOUSE,2676 ALKI AVE SW,SEATTLE,WA,98116,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JEFFREYS RESTAURANT & BAR,1204 W LYNN ST INCLUDING 1601,AUSTIN,TX,78703,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Grinds and Wines (Tavern on 74),288 Hwy 74 N,Peachtree City,GA,30269,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NUNOS BISTRO & BAR,2440 W ARROW RTE  STE #4A,UPLAND,CA,91786,0,0,0,0,0,0,0,0,0,1,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ACE,501 EAST 17TH AVENUE,DENVER,CO,80203,0,0,0,0,0,1,0,0,0,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TRATTORIA BRAVA,809 GRAND AVE #4,GLENWOOD SPRINGS,CO,81601,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NAM Kitchen,6400 Blue Stone Rd STE 100,Sandy Springs,GA,30328,0,0,0,0,0,0,0,1,0,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Kizuna,140 Progress Circle  #3,Blue Ridge,GA,30513,0,0,0,0,0,0,0,1,0,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KOJIN NOODLE BAR,422 EATON STREET,KEY WEST,FL,33040,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,RUSTIC CANYON,1119 WILSHIRE BL,SANTA MONICA,CA,90401,0,0,0,0,0,0,0,0,0,1,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MIKATA,H-41 237 PERIMETER CENTER PKWY NE S,Dunwoody,GA,30346,0,0,0,0,0,0,0,0,0,1,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BRASSERIE BRIXTON,3701 N WILLIAMS ST,DENVER,CO,80205,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CUCINA 8 1/2,9 WEST 57TH ST,NEW YORK,NY,10019,0,0,0,0,0,0,0,0,0,1,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Bon Ton,214 Ponce DeLeon Ave NE,Atlanta,GA,30308,0,0,0,0,0,0,1,0,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,RUSTIC HOUSE,295 MAIN ST,LOS ALTOS,CA,94022,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MUSUME RESTAURANT,2330 FLORA SUITE 100,DALLAS,TX,75201,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Church,466 Edgewood Ave SE Bldg 466,Atlanta,GA,30312,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TORO,5 S/E OF DOLORESE & 5TH ST,CARMEL,CA,93921,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Sports Cafe,8501 Tara Blvd,Jonesboro,GA,30236,0,0,0,0,0,0,0,0,0,1,1,2, 4 , 4 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PAPERFISH,432 ESPANOLA WAY,MIAMI BEACH,FL,33139,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MCNEAR S RSTR & BAR,21-23 PETALUMA BLVD N,PETALUMA,CA,94952,0,0,0,1,0,0,0,0,0,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MATY S/ITAMAE AO,3255 NE 1ST AVE,MIAMI,FL,33137,0,0,1,0,0,0,0,0,0,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,FRENCH GRILL HOUSE,427 NORTHWOOD ROAD,WEST PALM BEACH,FL,33407,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BOND ST,6 BOND ST,NEW YORK,NY,10012,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Flock To The Wok LLC,37 Whitaker ST,Savannah,GA,31401,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JIMOTO RAMEN,616 EAST HYMAN,ASPEN,CO,81611,0,0,0,1,0,0,0,0,0,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TINY GROCER,4300 SPEEDWAY UNIT 101,AUSTIN,TX,78751,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NAMINOHANA,5521 GREENVILLE AVE ST 111,DALLAS,TX,75206,0,0,0,0,0,0,1,1,0,0,0,2, 4 , 4 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Three Dollar Cafe,3000 Windy Hill Rd SE STE 132,Marietta,GA,30067,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Marietta Melt Yard,800 Whitlock Ave NW Ste 124,Marietta,GA,30064,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ASIAN MINT,11617 N CENTRAL EXPY STE 135,DALLAS,TX,75243,0,0,1,0,0,0,0,0,0,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,OWA,1635-1637 ABBOT KINNEY BLVD,VENICE,CA,90291,0,0,0,0,0,0,1,0,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TROPICAL SMOKEHOUSE,3815 S DIXIE HWY,WEST PALM BEACH,FL,33405,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,The Monte Cristo (Montecello),2000 Powers Ferry Rd  #1-3,Marietta,GA,30067,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Kelley s Tavern & Grill LLC,628 EE Butler Parkway,Gainesville,GA,30501,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LOTUS OF SIAM,620 E FLAMINGO RD,LAS VEGAS,NV,89119,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,RED DOOR HIBACHI STEAK HOUSE,3881 NE 163RD STREET,NORTH MIAMI BEACH,FL,33160,0,0,0,0,0,0,0,0,1,0,1,2, 4 , 4 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MING S CAFE CARBONDALE,901 HIGHWAY 133 #F,CARBONDALE,CO,81623,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SATO/CAFE 163,0105 EDWARDS VILL BLVD D101,EDWARDS,CO,81632,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BOURBON STEAKHOUSE,237 S BRAND BLVD,GLENDALE,CA,91204,0,0,0,0,0,0,0,0,0,1,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,IYASARE,1830 4TH ST,BERKELEY,CA,94710,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Atlanta Eagle,1492 Piedmont Ave NE Ste F,Atlanta,GA,30309,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Lingering Shade Social Club,660 Irwin St NE,Atlanta,GA,30312,0,0,0,1,0,0,0,0,0,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,IZAKAYA CABIN,321 ELK AVENUE,CRESTED BUTTE,CO,81224,0,0,0,0,0,0,0,1,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,FUKUMOTO,514 MEDINA STREET,AUSTIN,TX,78702,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Umi Sushi,3050 Peachtree Rd Ne,Atlanta,GA,30305,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Brass Tap,#32 4505 Ashford Dunwoody Rd,Dunwoody,GA,30346,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,HAKKASAN - RESTAURANT @ MGM,3799 S LAS VEGAS BLVD,LAS VEGAS,NV,89109,0,0,0,0,0,0,0,0,0,1,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,New York Butcher Shoppe,4475 Roswell Rd Ste 1030,Marietta,GA,30062,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Cru Battery Atlanta,915 Battery Ave SE,Atlanta,GA,30339,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,INTERNATIONAL SMOKE,301-301B MISSION ST,SAN FRANCISCO,CA,94105,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,WILLIAMS & GRAHAM / OCCIDENTAL,3150-3160 TEJON STREET,DENVER,CO,80211,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,HIGHLANDS ALEHOUSE,0133 PROSPECTOR ROAD STE 4114B,ASPEN,CO,81611,0,0,0,0,0,0,0,0,0,1,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KA THAI NORTH DALLAS,6859 ARAPAHO RD STE 601,DALLAS,TX,75248,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ROCKER OYSTERFELLERS,14415 HWY 1,VALLEY FORD,CA,94972,0,0,0,0,0,0,0,0,0,1,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MIMI CHINESE,1575 ALTON RD,MIAMI BEACH,FL,33139,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,The Club At Atl,1 H-J Atlanta Airport  Conc F,Atlanta,GA,30354,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PEARL,4640 MCKINNEY AVE STE 130,DALLAS,TX,75205,0,0,0,0,0,0,0,1,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,H & F Bottle Shop,2357 Peachtree Rd NE Ste 3,Atlanta,GA,30305,0,0,0,0,1,0,0,0,0,0,1,1, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JAGALCHI (ON),63 SERRAMONTE CENTER,DALY CITY,CA,94015,0,0,1,0,0,0,0,0,0,0,1,1, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LE CHICK ROTISSERIE,310 NW 24TH STREET,MIAMI,FL,33127,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,EBESU ROBATA & SUSHI,1007 E 15TH STREET,PLANO,TX,75074,0,0,0,0,0,0,0,0,1,0,1,1, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NYC RESTAURANT SERVICES LLC,1 VANDERBILT AVE  LEVEL B1,NEW YORK,NY,10017,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Kuroshio Sushi Bar & Grill,2700 Cobb Pkwy:3B-4B,Smyrna,GA,30080,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Prime 120,120 Chambers Street,Woodstock,GA,30188,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ROOSEVELT,1512 LARIMER ST UNIT 29R,DENVER,CO,80202,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,GOLDFINCH,119 S MAIN ST,SEBASTOPOL,CA,95472,0,0,0,0,0,0,0,0,0,1,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Westside Pizzeria,2260 Marietta Blvd NW Ste 107,Atlanta,GA,30318,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Kiosco,48 Powder Springs St,Marietta,GA,30064,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Out Of The Blue  Inc.,647 E Main St,Blue Ridge,GA,30513,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,DEBONAIR SUPPER CLUB,183 S ORANGE AVE,ORLANDO,FL,32801,0,0,0,0,0,0,1,0,0,0,2,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Mazzy s Sports Bar & Grill,2217 Roswell Rd Ste A-200,Marietta,GA,30062,0,0,0,0,0,1,0,0,0,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CLARKS HOUSTON,3807 MONTROSE BLVD,HOUSTON,TX,77006,0,0,0,0,0,0,0,0,1,0,0,2, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Antico Pizza Battery,Ste 420 2605 Circle 75 Pkwy SE,Atlanta,GA,30339,0,0,0,0,0,0,0,0,0,0,0,0, -   , -   ,,,,,,,,,,,,,,,,
RESTAURANT,ON,The Mad Mexican,2 E Court Square,Newnan,GA,30263,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,YUZU JAPANESE RESTAUARANT AND BAR,2101 SUMMER LEE DR SUITE 105,ROCKWALL,TX,75032,0,0,0,0,0,0,0,1,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,THE MONARCH,411 S MONARCH,ASPEN,CO,81611,0,0,1,0,0,0,0,0,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,La Grotta Restaurant (Pchtree),2637 Peachtree Rd,Atlanta,GA,30305,0,0,0,0,0,0,0,0,1,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,YAMA IZAKAYA SUSHI B,240 LEGACY DRIVE SUITE 100,PLANO,TX,75023,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JG MELON,89 MACDOUGAL ST,NEW YORK,NY,10012,0,0,0,0,0,1,0,0,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PAPERFISH/BARSECCO,1421 SOUTH MIAMI AVENUE,MIAMI,FL,33131,0,0,0,0,0,0,0,0,0,0,0,1, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,HARRIS RESTAURANT,2100 VAN NESS AVE,SAN FRANCISCO,CA,94109,0,0,0,0,0,0,1,0,0,0,0,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Yao Thai Restaurant,Ste H-31 245 Perimeter Center Pkwy,Dunwoody,GA,30346,0,0,0,0,0,0,0,0,4,-4,0,1, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Frank s At The Old Mill,1095 Hwy 54 West,Fayetteville,GA,30214,0,0,0,0,1,-1,0,0,0,0,0,1, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Katana Sushi Hibachi,4400 Roswell Rd Ste 152,Marietta,GA,30062,0,0,0,0,0,0,0,1,-1,0,0,1, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Woofs Sports Bar,494 Plasters Ave NE Ste 200,Atlanta,GA,30324,0,0,0,0,0,0,0,0,1,0,2,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Thai Spice,286 Highway 74 N,Peachtree City,GA,30269,0,0,0,0,0,0,0,0,1,0,2,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,THE BLUE FISH,5760 HWY 121 SUITE 175,PLANO,TX,75024,0,0,0,0,0,0,0,0,1,0,2,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MamiTaco Inc,800 Whitlock Ave NW Ste 207,Marietta,GA,30064,0,0,0,0,0,0,0,0,1,0,2,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PINK STEAK,2777 S DIXIE HWY,WEST PALM BEACH,FL,33405,0,0,0,0,0,0,0,0,0,0,2,2, 4 , 4 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PURPLE PATCH,3155 MOUNT PLEASANT ST NW 101,WASHINGTON,DC,20019,0,0,0,0,0,0,0,0,0,0,0,1, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ULTREIA,1701 WYNKOOP STREET SUITE 125,DENVER,CO,80202,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Kobe Japanese Steakhouse,2876 Highway 54,Peachtree City,GA,30269,0,0,0,0,0,0,0,0,1,0,0,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ONE FISH RAW BAR,193 E CAMPBELL AVE,CAMPBELL,CA,95008,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,The Tabernacle,152 Luckie St NW,Atlanta,GA,30303,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,SUEHIRO JAPANESE RESTAURANT,541 MAIN STREET,GRAND JUNCTION,CO,81501,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,KENICHI,533 E HOPKINS,ASPEN,CO,81611,0,0,1,0,0,0,0,0,0,1,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Tannery Row Ale House*CLOSED*,554 W Main ST C-100,Buford,GA,30518,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,THE BLUE FISH,320 WEST LAS COLINAS BLVD SUITE 110,IRVING,TX,75039,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,GOLDEN GRILL ON THE BAY,1014 BAY ST,PORT ORCHARD,WA,98366,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,The Atlanta Fish Market,265 Pharr Rd NE,Atlanta,GA,30305,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,J. R Crickets,4550 Jonesboro Rd Ste C,Union City,GA,30291,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Rusty Barrel,138 Powers Ferry Rd SE,Marietta,GA,30067,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,PARTAGE,3829-3839 SPRING MOUNTAIN RD,LAS VEGAS,NV,89102,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Thrive,101 Marietta St NW,Atlanta,GA,30303,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Cru Food & WIne Bar,300 Avalon Blvd,Alpharetta,GA,30009,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Pour Taproom Midtown,1180 Peachtree St NE Ste A,Atlanta,GA,30309,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,RISTORANTE SANTUCCI,610 CLEMATIS ST,WEST PALM BEACH,FL,33401,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ESNAF,1105 SAN CARLOS AVE,SAN CARLOS,CA,94070,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,JJANGA STEAK & SUSHI,6125 S FORT APACHE RD #200,LAS VEGAS,NV,89148,0,0,1,0,0,0,0,0,1,0,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,DOMODOMO,2681 HOWELL ST BU3,DALLAS,TX,75201,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,NAMO,3699 MCKINNEY AVENUE SUITE 305C,DALLAS,TX,75204,0,0,0,0,0,1,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MORI JAPANESE GRILL,2200 S 10TH STREET SPACE S25,MCALLEN,TX,78503,0,0,0,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Nana Thai Eatery,2940 Johnson Ferry Rd Ste C,Marietta,GA,30062,0,0,0,0,0,0,0,0,1,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Perfecture Japanese Steakhouse,2277 Peachtree Rd NE Ste A,Atlanta,GA,30309,0,0,0,0,0,1,0,0,0,1,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,ZUZU,823 & 825 & 829 MAIN ST,NAPA,CA,94559,0,0,0,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,TOSCANA MARE,1121 CRANDON BLVD,KEY BISCAYNE,FL,33149,0,0,0,0,0,0,1,0,0,1,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Ted s Montana Grill,314 City Circle #1320,Peachtree City,GA,30269,0,0,0,0,0,0,0,1,0,1,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,OZUMO,355 SANTANA ROW #1010,SAN JOSE,CA,95128,0,0,1,0,0,0,0,0,0,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Park 82  **CLOSED**,4403 Northside Pkwy NW Ste 150,Atlanta,GA,30327,0,0,0,0,0,0,0,0,1,0,1,0, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,BOURBON STEAK,3960 S LAS VEGAS BLVD,LAS VEGAS,NV,89119,0,0,0,0,0,0,0,0,1,1,1,0, 3 , 3 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LOCAL YOCAL BBQ & GRILL,350 E LOUISIANA STREET SUITE A,MCKINNEY,TX,75069,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Bella Napoli Savannah,18 E State St,Savannah,GA,31401,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,LIGHTHOUSE,145 BORINQUEN PLACE,BROOKLYN,NY,11211,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,Park 82,4403 Northside Pkwy NW #150,Atlanta,GA,30327,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MISTER FRENCH,24 E 21ST ST,NEW YORK,NY,10010,0,0,0,0,0,0,0,0,0,0,1,0, 1 , 1 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,CASA TUA ASPEN,403 S GALENA ST,ASPEN,CO,81611,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
RESTAURANT,ON,MILA MIAMI,800 LINCOLN ROAD,MIAMI BEACH,FL,33139,0,0,0,0,0,0,0,0,0,0,1,1, 2 , 2 ,,,,,,,,,,,,,,,,
